Data,Result,Reason
a timely manner,0,not detected as hard skill
Strong TCP/IP knowledge,1,more than one capital letter
Proxies,0,not detected as hard skill
NG Firewalls,1,more than one capital letter
SSL/IPSec,1,more than one capital letter
VPN,1,more than one capital letter
SSO,1,in sample of hard skills
Familiarity,0,not detected as hard skill
DLP and Encryption gateways,1,more than one capital letter
Demonstrable experience,1,unusual word
configuration,1,in sample of hard skills
UNIX/Linux,1,more than one capital letter
Windows­ based systems,1,in sample of hard skills
prior Active Directory/LDAP experience,1,in sample of hard skills
various scenarios,0,not detected as hard skill
tcpdump,1,unusual word
protocols,1,in sample of hard skills
(TCP/IP,1,more than one capital letter
DNS,1,more than one capital letter
DHCP,1,more than one capital letter
Familiarity,0,not detected as hard skill
Strong empathy,0,not detected as hard skill
Interpersonal Skills,0,not detected as hard skill
Zendesk,1,unusual word
other support portal tools,1,in sample of hard skills
Bachelors or Masters degree,0,not detected as hard skill
all support and escalations tickets,1,in sample of hard skills
workarounds,1,unusual word
promptly follow-up,0,not detected as hard skill
DevOPS,1,more than one capital letter
Self-starter,1,in sample of hard skills
"a high-pressure, fast-paced, fast growth environment",1,in sample of hard skills
knowledge base entries,1,in sample of hard skills
the Support Portal,1,in sample of hard skills
SLA,1,more than one capital letter
a timely manner,0,not detected as hard skill
Strong TCP/IP knowledge,1,more than one capital letter
Proxies,0,not detected as hard skill
NG Firewalls,1,more than one capital letter
SSL/IPSec,1,more than one capital letter
VPN,1,more than one capital letter
SSO,1,in sample of hard skills
Familiarity,0,not detected as hard skill
DLP and Encryption gateways,1,more than one capital letter
Demonstrable experience,1,unusual word
configuration,1,in sample of hard skills
UNIX/Linux,1,more than one capital letter
Windows­ based systems,1,in sample of hard skills
prior Active Directory/LDAP experience,1,in sample of hard skills
various scenarios,0,not detected as hard skill
tcpdump,1,unusual word
protocols,1,in sample of hard skills
(TCP/IP,1,more than one capital letter
DNS,1,more than one capital letter
DHCP,1,more than one capital letter
Familiarity,0,not detected as hard skill
Strong empathy,0,not detected as hard skill
Interpersonal Skills,0,not detected as hard skill
Zendesk,1,unusual word
other support portal tools,1,in sample of hard skills
Bachelors or Masters degree,0,not detected as hard skill
billions,0,not detected as hard skill
Excellent grasp,0,not detected as hard skill
Python,0,not detected as hard skill
advanced SQL,1,in sample of hard skills
MLOps processes,1,more than one capital letter
tooling,1,in sample of hard skills
production and debugging complex systems,1,in sample of hard skills
their mathematical concepts,0,not detected as hard skill
sklearn,1,unusual word
SparkML,1,more than one capital letter
pandas,0,not detected as hard skill
NumPy,1,more than one capital letter
similar packages,0,not detected as hard skill
deep learning packages,1,in sample of hard skills
Tensorflow,1,unusual word
PyTorch,1,more than one capital letter
Keras,1,unusual word
Spark,1,in sample of hard skills
Elasticsearch,1,unusual word
Kubernetes,1,in sample of hard skills
Familiarity,0,not detected as hard skill
AWS,1,in sample of hard skills
automation technologies,1,in sample of hard skills
"e.g., Kubernetes",1,in sample of hard skills
Jenkins,1,not in english dictionary
GNN,1,more than one capital letter
RL,1,more than one capital letter
Recommender Systems,1,unusual word
NLP techniques,1,more than one capital letter
embeddings,1,unusual word
attention mechanisms,0,not detected as hard skill
Familiarity,0,not detected as hard skill
the information/cyber security domain,1,in sample of hard skills
the underlying mathematical models,0,not detected as hard skill
exploratory data analysis,1,in sample of hard skills
algorithms,0,not detected as hard skill
synthetic data sets,1,in sample of hard skills
statistical and machine learning models,1,in sample of hard skills
efficacy,0,not detected as hard skill
Analyzes,0,not detected as hard skill
debugs,1,unusual word
software enhancements,1,in sample of hard skills
"local, networked, or Internet-related computer programs",1,unusual word
debugging,1,unusual word
documentation,1,in sample of hard skills
necessary modifications,0,not detected as hard skill
reviews product/project deliverables,1,in sample of hard skills
the life cycle methodologies,1,in sample of hard skills
"i.e., impact assessments",1,in sample of hard skills
external & internal specifications,0,not detected as hard skill
manuals,0,not detected as hard skill
QA test plans,1,more than one capital letter
scripts,0,not detected as hard skill
the ACI Code,1,more than one capital letter
troubleshooting,1,unusual word
Bachelor’s degree,1,in sample of hard skills
6 to 8 years professional Java development experience,1,in sample of hard skills
SDLC,1,more than one capital letter
Agile,1,in sample of hard skills
the following development languages / frameworks / tools,1,in sample of hard skills
Micro-services architecture,1,in sample of hard skills
containers,0,not detected as hard skill
orchestration tools,1,in sample of hard skills
e.g. Azure,1,in sample of hard skills
docker,1,unusual word
Kubernetes,1,in sample of hard skills
OpenShift,1,in sample of hard skills
K8 cluster,1,in sample of hard skills
micro-services deployment,1,in sample of hard skills
other frameworks/tools,1,in sample of hard skills
Nginx/Ingres,1,unusual word
API Gateway,1,in sample of hard skills
Service Mesh,1,in sample of hard skills
(e.g. Istio,1,in sample of hard skills
sensitive data encryption,1,in sample of hard skills
e.g. HashiCorp/HSM integration,1,in sample of hard skills
the following code versioning,1,in sample of hard skills
i.e. Git,1,in sample of hard skills
TortoiseGit / Sourcetree,1,more than one capital letter
BitBucket,1,in sample of hard skills
JIRA,1,more than one capital letter
testing frameworks,1,in sample of hard skills
i.e. Junit,1,in sample of hard skills
Mockito,1,unusual word
Application Servers,1,in sample of hard skills
JBoss,1,more than one capital letter
WebSphere,1,in sample of hard skills
Tomcat,1,in sample of hard skills
Database Servers,1,in sample of hard skills
PostgreSQL,1,more than one capital letter
Oracle,1,in sample of hard skills
MSSQL,1,more than one capital letter
Linux,1,in sample of hard skills
Object Oriented Programming knowledge,1,in sample of hard skills
shell scripting,0,not detected as hard skill
JAXB,1,more than one capital letter
Apache Commons,1,in sample of hard skills
Apache POI,1,in sample of hard skills
Eclipse / STS,1,in sample of hard skills
XML,1,in sample of hard skills
XSD,1,more than one capital letter
Apache Ant,1,in sample of hard skills
Linux bash scripting,1,in sample of hard skills
SQL,1,in sample of hard skills
DDL,1,more than one capital letter
DML,1,more than one capital letter
JDBC,1,more than one capital letter
liquibase,1,unusual word
Java Message Service,1,in sample of hard skills
JMS,1,more than one capital letter
our preferred technology stack,1,in sample of hard skills
(Primarily Elixir/Phoenix,0,not detected as hard skill
LiveView,1,more than one capital letter
Ruby,0,not detected as hard skill
Rails,0,not detected as hard skill
modern JavaScript,1,in sample of hard skills
amazing GraphQL,1,more than one capital letter
RESTful APIs,1,more than one capital letter
our backend service teams,1,in sample of hard skills
modern JavaScript technologies,1,in sample of hard skills
a collaborative agile/scrum environment,1,in sample of hard skills
strong competencies,1,unusual word
algorithms,0,not detected as hard skill
software craftsmanship,1,in sample of hard skills
API development,1,in sample of hard skills
Ruby,0,not detected as hard skill
Rails,0,not detected as hard skill
Sinatra,0,not detected as hard skill
Django,1,not in english dictionary
Node,0,not detected as hard skill
Git,0,not detected as hard skill
GitHub,1,in sample of hard skills
A strong grasp,0,not detected as hard skill
relational databases,0,not detected as hard skill
PostgreSQL,1,more than one capital letter
MySQL,1,in sample of hard skills
Exq,1,unusual word
Sidekiq,1,unusual word
Celery,0,not detected as hard skill
Beanstalk,1,unusual word
RabbitMQ,1,more than one capital letter
